Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total.1
31-JAN-2023|BIMA|EQUITY|608175716.0|93|570000|14317500|0|0|51724480|0|19820200|0|0|86432180|0|0|0|16400|23500|0|0|0|0|39900
31-JAN-2023|BINA|EQUITY|6134716665.0|3930|1907832685|2317938051|42037000|0|71321208|75382600|9585412|0|5850700|4429947656|47800|6601000|139700|4687042|321500|594550150|1036711550|0|363100|1643421842
31-JAN-2023|BINO|EQUITY|2175015553.0|129|0|15584300|0|0|416133803|0|50|0|3017800|434735953|0|0|0|0|279600|0|0|0|0|279600
31-JAN-2023|BIPI|EQUITY|57918360917.0|178|2166491609|23576635866|1281500|305626000|13907830091|1440765000|4201111116|13549200|1334506606|46947796988|248645800|2110153100|67059900|3294675666|77767000|876409292|89836075|0|4206017096|10970563929
31-JAN-2023|BIPP|EQUITY|5028669376.0|50|138171000|366940100|21000300|1604280|835818156|9410000|10583220|0|7086800|1390613856|0|3484676395|0|630300|129222400|0|526500|0|0|3615055595
31-JAN-2023|BIRD|EQUITY|2502100000.0|1615|35475900|447356395|17075000|0|777878482|71577300|840865|1961800|18|1352165760|17633000|59331273|10075846|24071215|233500|25969331|7248546|468100|14883429|159914240
31-JAN-2023|BISI|EQUITY|3000000000.0|1575|5095900|50062600|1464500|0|103836538|33939300|655894|0|0|195054732|0|14311740|1204000|769060093|27265441|20752157|65593548|750797|281694992|1180632768
31-JAN-2023|BJBR|EQUITY|10521443686.0|1365|963178200|23383570|10029035|13059800|807932298|95748899|31760299|861800|65750049|2011703950|8688703|23963467|97144581|36665104|209000|242837771|74439704|955750|76242325|561146405
31-JAN-2023|BJTM|EQUITY|15015498082.0|735|429861300|61383387|8588700|727500|1412697107|16132961|126453157|1257900|0|2057102012|8170600|27609274|127553608|39560266|1025100|543895794|40228004|33247731|202957711|1024248088
31-JAN-2023|BKDP|EQUITY|7513992252.0|78|0|2595953200|0|0|1613201285|47057750|90050|0|13500000|4269802285|0|0|0|0|44181267|0|8700|0|0|44189967
31-JAN-2023|BKSL|EQUITY|67083561082.0|50|354400|3460111716|20211900|30|14236560500|96900000|171612354|800|249511200|18235262900|0|552766544|0|781579691|48040400|677675074|98454422|0|1481326180|3639842311
31-JAN-2023|BKSW|EQUITY|20436685984.0|97|0|240130818|0|0|544036777|289396400|22500|0|100|1073586595|0|0|0|18948792208|131594|0|41300|0|413877559|19362842661
31-JAN-2023|BLTA|EQUITY|25181143017.0|50|29836312|4529108931|131943040|470678|4494999806|703000098|338713365|9884416|2987400|10240944046|0|802951448|701593424|1887939957|368404866|59772609|1548455287|0|325338632|5694456223
31-JAN-2023|BLTZ|EQUITY|873937142.0|3380|0|54600|0|0|1986850|0|0|0|10700|2052150|0|0|0|76216300|21800|0|0|0|795283292|871521392
31-JAN-2023|BLUE|EQUITY|418000000.0|288|0|129043900|0|0|20213500|0|18474500|0|0|167731900|0|0|0|40100|192500|0|0|0|35500|268100
31-JAN-2023|BMAS|EQUITY|8620315383.0|1155|0|2775896371|0|0|25539829|0|0|0|0|2801436200|0|5374896675|0|443925708|2600|0|54200|0|0|5818879183
31-JAN-2023|BMBL|EQUITY|1030000000.0|81|0|10618400|20000|0|269145800|0|46300|15800|0|279846300|0|0|0|0|153700|0|0|0|0|153700
31-JAN-2023|BMHS|EQUITY|8603416176.0|420|451620200|4999589800|48688900|0|1700219200|130054700|650000|3942300|0|7334765100|0|1163470776|0|5816000|3961200|22800|5380300|0|0|1178651076
31-JAN-2023|BMRI|EQUITY|46666666666.0|9950|1258782872|33847590|238822682|31054136|575787829|1048803407|15142955|36630298|3734386473|6973258242|552835419|670349870|2091962325|1536092721|2315376|6180519588|782237636|37819262|3572609560|15426741757
31-JAN-2023|BMSR|EQUITY|1159200024.0|675|74243200|89069000|37150000|0|93368292|1916000|15839300|0|54000|311639792|0|51380400|0|0|50077500|0|135000|0|745842332|847435232
31-JAN-2023|BMTR|EQUITY|16583997586.0|284|121022300|6633146840|2030050|0|6063822568|54754750|1502928705|5055000|3016300|14385776513|29|644149197|55848465|278070863|12920570|462910337|624520246|0|115112546|2193532253
31-JAN-2023|BNBA|EQUITY|3388000000.0|935|8144932|1179523881|0|0|203631400|0|385|0|0|1391300598|0|0|0|12325500|968200|1089100|10244640|0|455032|25082472
31-JAN-2023|BNBR|EQUITY|22084484209.0|71|370441137|8111923072|30382200|173975|5867969113|881137840|1350792704|207100|218|16613027359|0|123154201|0|2980078939|67543269|67853045|100530417|0|1139431368|4478591239
31-JAN-2023|BNGA|EQUITY|25131606843.0|1180|69236137|54096412|5487350|197485162|733692909|56859266|14603766|1709343|69089|1133239434|332457|2207187|75690399|23091912619|9579006|141852068|70215582|1407000|332859528|23726055846
